"label","value"
"n","82"
"Age",NA
"Years: M (SD)","66.69 (9.60)"
"Age at PD Diagnosis",NA
"Years: M (SD)","59.62 (10.95)"
"Gender: n (%)",NA
"Female","35 (42.7)"
"Male","45 (54.9)"
"Missing","2 (2.4)"
"Sex Assigned at Birth: n (%)",NA
"Female","34 (41.5)"
"Male","46 (56.1)"
"Missing","2 (2.4)"
"Race: n (%)",NA
"Black or African American","1 (1.2)"
"White","75 (91.5)"
"More than one race","3 (3.7)"
"Prefer not to answer","1 (1.2)"
"Missing","2 (2.4)"
"Ethnicity: n (%)",NA
"Hispanic or Latino","5 (6.1)"
"Not Hispanic or Latino","71 (86.6)"
"Unknown","3 (3.7)"
"Prefer not to answer","1 (1.2)"
"Missing","2 (2.4)"
"Education: n (%)",NA
"High School","6 (7.3)"
"Some College","14 (17.1)"
"Associate's Degree","4 (4.9)"
"Bachelor's Degree","23 (28.0)"
"Master's Degree","23 (28.0)"
"Doctorate/ PhD","10 (12.2)"
"Missing","2 (2.4)"
"Employment Status: n (%)",NA
"Working full-time","13 (15.9)"
"Working part-time","3 (3.7)"
"Unemployed or laid off","2 (2.4)"
"Homemaker/keeping house or raising children full-time","1 (1.2)"
"Retired","58 (70.7)"
"Other","3 (3.7)"
"Missing","2 (2.4)"
"Relationship Status: n (%)",NA
"Single","7 (8.5)"
"Single, but currently living with someone in a marriage-like relationship","4 (4.9)"
"Married","61 (74.4)"
"Divorced","4 (4.9)"
"Widow/widower","3 (3.7)"
"Other","1 (1.2)"
"Missing","2 (2.4)"
"Living Alone: n (%)",NA
"No","70 (85.4)"
"Yes","9 (11.0)"
"Prefer not to answer","1 (1.2)"
"Missing","2 (2.4)"
"Country: n (%)",NA
"Missing","2 (2.4)"
"United States","79 (96.3)"
"us","1 (1.2)"
"Where did you hear about this survey study?: n (%)",NA
"Parkinson's Pals website","2 (2.4)"
"Michael J. Fox Foundation website or email","3 (3.7)"
"Facebook group posting","2 (2.4)"
"International Parkinson Society website or email","3 (3.7)"
"My PD healthcare provider","33 (40.2)"
"A friend or family member","3 (3.7)"
"Other","30 (36.6)"
"More than one source","4 (4.9)"
"Missing","2 (2.4)"
"Did anyone help you complete these surveys?: n (%)",NA
"No","71 (86.6)"
"Yes","9 (11.0)"
"Missing","2 (2.4)"
