"item","response","n","percent"
"mdib_neg_ext_server_2a","0",57,69.51
"mdib_neg_ext_server_2a","1",19,23.17
"mdib_neg_ext_server_2a","2",5,6.1
"mdib_neg_ext_server_2a","3",1,1.22
"mdib_neg_ext_reminder_3c","0",45,54.88
"mdib_neg_ext_reminder_3c","1",20,24.39
"mdib_neg_ext_reminder_3c","2",12,14.63
"mdib_neg_ext_reminder_3c","3",3,3.66
"mdib_neg_ext_reminder_3c","4",2,2.44
"mdib_neg_ext_neighbor_5a","0",24,29.27
"mdib_neg_ext_neighbor_5a","1",26,31.71
"mdib_neg_ext_neighbor_5a","2",16,19.51
"mdib_neg_ext_neighbor_5a","3",15,18.29
"mdib_neg_ext_neighbor_5a","4",1,1.22
"mdib_neg_ext_exercise_7a","0",29,35.37
"mdib_neg_ext_exercise_7a","1",24,29.27
"mdib_neg_ext_exercise_7a","2",15,18.29
"mdib_neg_ext_exercise_7a","3",10,12.2
"mdib_neg_ext_exercise_7a","4",4,4.88
"mdib_neg_ext_walk_9c","0",69,84.15
"mdib_neg_ext_walk_9c","1",6,7.32
"mdib_neg_ext_walk_9c","2",3,3.66
"mdib_neg_ext_walk_9c","3",3,3.66
"mdib_neg_ext_walk_9c","4",1,1.22
"mdib_neg_ext_job_10a","0",55,67.07
"mdib_neg_ext_job_10a","1",10,12.2
"mdib_neg_ext_job_10a","2",11,13.41
"mdib_neg_ext_job_10a","3",2,2.44
"mdib_neg_ext_job_10a","4",4,4.88
"mdib_neg_ext_stumble_11c","0",12,14.63
"mdib_neg_ext_stumble_11c","1",24,29.27
"mdib_neg_ext_stumble_11c","2",22,26.83
"mdib_neg_ext_stumble_11c","3",18,21.95
"mdib_neg_ext_stumble_11c","4",6,7.32
"mdib_neg_int_remember_1b","0",52,63.41
"mdib_neg_int_remember_1b","1",19,23.17
"mdib_neg_int_remember_1b","2",7,8.54
"mdib_neg_int_remember_1b","3",2,2.44
"mdib_neg_int_remember_1b","4",2,2.44
"mdib_neg_int_cleaning_4c","0",35,42.68
"mdib_neg_int_cleaning_4c","1",31,37.8
"mdib_neg_int_cleaning_4c","2",7,8.54
"mdib_neg_int_cleaning_4c","3",7,8.54
"mdib_neg_int_cleaning_4c","4",2,2.44
"mdib_neg_int_email_6b","0",52,63.41
"mdib_neg_int_email_6b","1",20,24.39
"mdib_neg_int_email_6b","2",8,9.76
"mdib_neg_int_email_6b","3",1,1.22
"mdib_neg_int_email_6b","4",1,1.22
"mdib_neg_int_medication_8b","0",44,53.66
"mdib_neg_int_medication_8b","1",22,26.83
"mdib_neg_int_medication_8b","2",8,9.76
"mdib_neg_int_medication_8b","3",5,6.1
"mdib_neg_int_medication_8b","4",3,3.66
"mdib_neg_int_cough_12b","0",57,69.51
"mdib_neg_int_cough_12b","1",19,23.17
"mdib_neg_int_cough_12b","2",3,3.66
"mdib_neg_int_cough_12b","3",2,2.44
"mdib_neg_int_cough_12b","4",1,1.22
